city_name,psgc,year,annual_mean_nightlight,annual_max_nightlight,annual_std_nightlight
Batangas City,401005000,2022,4.823449216087253,980.0,35.509508633212114
Batangas City,401005000,2023,3.4839809134287663,113.0,8.249780462323063
Batangas City,401005000,2024,5.978868438991138,711.0,34.46567842129256
City of Alaminos,105503000,2022,0.34755463059313213,5.0,0.627099390494587
City of Alaminos,105503000,2023,0.4328824141519251,7.0,0.759210469265164
City of Alaminos,105503000,2024,0.5317377731529657,7.0,0.8282737825215302
City of Angeles,330100000,2022,10.565281899109792,64.0,10.302806191760764
City of Angeles,330100000,2023,12.566765578635016,109.0,12.707009651617211
City of Angeles,330100000,2024,13.571216617210682,128.0,14.029064870158614
City of Antipolo,405802000,2022,3.529782761037141,40.0,5.463100674409703
City of Antipolo,405802000,2023,3.7407147862648915,39.0,5.557879465786789
City of Antipolo,405802000,2024,4.0707778556412055,44.0,6.097999685617287
City of Bacolod,630200000,2022,4.6768707482993195,30.0,5.142295842745184
City of Bacolod,630200000,2023,5.126984126984127,49.0,6.110822504007543
City of Bacolod,630200000,2024,5.803854875283447,50.0,6.542991169125652
City of Bacoor,402103000,2022,14.027681660899654,28.0,4.563954814920877
City of Bacoor,402103000,2023,15.048442906574394,29.0,4.880340407077653
City of Bacoor,402103000,2024,17.67820069204152,39.0,6.445156617283586
City of Bago,604502000,2022,0.34454589139836617,13.0,0.9413254010959102
City of Bago,604502000,2023,0.4089380105718405,16.0,1.0592703628382099
City of Bago,604502000,2024,0.5218644882268141,21.0,1.3081739781210309
City of Baguio,1430300000,2022,7.924012158054711,48.0,7.453421788990196
City of Baguio,1430300000,2023,8.097264437689969,48.0,7.507825206090608
City of Baguio,1430300000,2024,8.553191489361701,54.0,7.99416944613664
City of Bais,704604000,2022,0.13318284424379231,7.0,0.5763240956111223
City of Bais,704604000,2023,0.20692249811888638,10.0,0.8543679269292106
City of Bais,704604000,2024,0.24604966139954854,12.0,0.9998275851073378
City of Balanga,300803000,2022,1.621782178217822,17.0,2.969401845303243
City of Balanga,300803000,2023,1.9207920792079207,22.0,3.402047049216953
City of Balanga,300803000,2024,2.0792079207920793,21.0,3.4177265569607935
City of Baliwag,301403000,2022,3.804270462633452,15.0,2.8511313078634495
City of Baliwag,301403000,2023,4.750889679715303,21.0,3.750474360308468
City of Baliwag,301403000,2024,5.1387900355871885,21.0,3.833541419774268
City of Batac,102805000,2022,0.4942396313364055,19.0,1.3521493378979057
City of Batac,102805000,2023,0.5956221198156681,19.0,1.427617397359472
City of Batac,102805000,2024,0.6370967741935484,22.0,1.4852134029781403
City of Bayawan,704606000,2022,0.07112375533428165,8.0,0.4104672635458234
City of Bayawan,704606000,2023,0.09473684210526316,10.0,0.5142223704321907
City of Bayawan,704606000,2024,0.09871977240398293,10.0,0.5145795391645814
City of Baybay,803708000,2022,0.24537037037037038,13.0,0.9279491783716409
City of Baybay,803708000,2023,0.4053497942386831,19.0,1.3237666754293689
City of Baybay,803708000,2024,0.41358024691358025,19.0,1.39396876228526
City of Bayugan,1600301000,2022,0.10346266166040885,13.0,0.7141052381540411
City of Bayugan,1600301000,2023,0.1380892782644973,14.0,0.7651385386114337
City of Bayugan,1600301000,2024,0.17438464747601168,16.0,0.9214242339108205
City of Bislig,1606803000,2022,0.08929406264609631,7.0,0.4637110877482866
City of Bislig,1606803000,2023,0.11266947171575503,7.0,0.49957750139979634
City of Bislig,1606803000,2024,0.10752688172043011,7.0,0.484094281230723
City of Biñan,403403000,2022,15.686192468619247,33.0,6.89595856270328
City of Biñan,403403000,2023,16.564853556485357,32.0,7.021409211949587
City of Biñan,403403000,2024,19.246861924686193,42.0,8.317555951985415
City of Bogo,702211000,2022,1.001937984496124,11.0,1.42445288151555
City of Bogo,702211000,2023,1.182170542635659,12.0,1.463295082355911
City of Bogo,702211000,2024,1.4864341085271318,13.0,1.6986685613495143
City of Borongan,802604000,2022,0.0595679012345679,7.0,0.36239234036108614
City of Borongan,802604000,2023,0.08055555555555556,8.0,0.4216278711475263
City of Borongan,802604000,2024,0.08765432098765433,8.0,0.4469050541441668
City of Butuan,1630400000,2022,0.5252400123877361,18.0,1.589995913501705
City of Butuan,1630400000,2023,0.6506658408175906,23.0,1.873016743495075
City of Butuan,1630400000,2024,0.7788789098792196,27.0,2.20757161134529
City of Cabadbaran,1600203000,2022,0.30918727915194344,11.0,0.9697050291750169
City of Cabadbaran,1600203000,2023,0.43462897526501765,16.0,1.2701251100591773
City of Cabadbaran,1600203000,2024,0.549469964664311,30.0,1.8402553535248296
City of Cabanatuan,304903000,2022,2.119607843137255,18.0,2.528156703371298
City of Cabanatuan,304903000,2023,2.5725490196078433,21.0,3.0469578805799813
City of Cabanatuan,304903000,2024,3.0598039215686272,26.0,3.6320134264868433
City of Cabuyao,403404000,2022,8.138709677419355,39.0,6.655833115703841
City of Cabuyao,403404000,2023,9.77741935483871,38.0,7.922943802751656
City of Cabuyao,403404000,2024,12.154838709677419,47.0,9.205287355458605
City of Cadiz,604504000,2022,0.25188253012048195,18.0,0.9617086379320489
City of Cadiz,604504000,2023,0.25188253012048195,13.0,0.8132215487833845
City of Cadiz,604504000,2024,0.27786144578313254,15.0,0.9036693632917553
City of Cagayan De Oro,1030500000,2022,1.7249904906808673,32.0,3.7566812865363626
City of Cagayan De Oro,1030500000,2023,2.2480030429821225,44.0,5.142484906547081
City of Cagayan De Oro,1030500000,2024,2.414986686953214,44.0,5.207605168201509
City of Calaca,401007000,2022,1.7423014586709886,50.0,4.948359899193142
City of Calaca,401007000,2023,2.0291734197730955,48.0,4.98059034572888
City of Calaca,401007000,2024,2.1491085899513775,52.0,5.364249568721984
City of Calamba,403405000,2022,8.745019920318725,51.0,7.506442016425034
City of Calamba,403405000,2023,9.949535192563081,51.0,7.959899691830744
City of Calamba,403405000,2024,11.665338645418327,56.0,9.124028470804422
City of Calapan,1705205000,2022,0.7598385469223007,9.0,1.3000200162114666
City of Calapan,1705205000,2023,0.8435923309788093,9.0,1.3359716288301435
City of Calapan,1705205000,2024,0.917255297679112,13.0,1.4540437140995102
City of Calbayog,806003000,2022,0.11594202898550725,15.0,0.6438529151518275
City of Calbayog,806003000,2023,0.14696557971014493,21.0,0.7760598379014657
City of Calbayog,806003000,2024,0.17006340579710144,26.0,0.9667575211372069
City of Caloocan,1380100000,2022,17.34929577464789,49.0,9.801219717707122
City of Caloocan,1380100000,2023,17.867605633802818,48.0,9.93284173694698
City of Caloocan,1380100000,2024,20.4,56.0,10.707007051459337
City of Candon,102906000,2022,1.0603448275862069,10.0,1.3001246167290927
City of Candon,102906000,2023,1.2176724137931034,9.0,1.2654349516372654
City of Candon,102906000,2024,1.2327586206896552,10.0,1.3219483962794025
City of Canlaon,704608000,2022,0.06794871794871794,3.0,0.30255052120756915
City of Canlaon,704608000,2023,0.10897435897435898,3.0,0.38185978680457466
City of Canlaon,704608000,2024,0.11282051282051282,4.0,0.4083610061870452
City of Carcar,702214000,2022,0.9011194029850746,16.0,1.6827479127848397
City of Carcar,702214000,2023,1.3600746268656716,24.0,2.4515855351632903
City of Carcar,702214000,2024,1.5242537313432836,19.0,2.2903450423969627
City of Carmona,402104000,2022,10.209150326797385,24.0,4.970045691944515
City of Carmona,402104000,2023,11.529411764705882,27.0,5.52127060247403
City of Carmona,402104000,2024,12.673202614379084,30.0,6.279784003362062
City of Catbalogan,806005000,2022,0.372,19.0,1.4606902477938297
City of Catbalogan,806005000,2023,0.439,20.0,1.4457797204277005
City of Catbalogan,806005000,2024,0.47,22.0,1.651393351082655
City of Cauayan,203108000,2022,0.438470066518847,11.0,1.0338425776045725
City of Cauayan,203108000,2023,0.5044345898004434,11.0,1.0919389483883872
City of Cauayan,203108000,2024,0.6241685144124168,15.0,1.3527475229096328
City of Cavite,402105000,2022,3.0,17.0,4.047241689009466
City of Cavite,402105000,2023,3.2975206611570247,17.0,4.4566685628757705
City of Cavite,402105000,2024,3.4132231404958677,18.0,4.372471021574167
City of Cebu,730600000,2022,4.778743315508021,72.0,8.875767799785962
City of Cebu,730600000,2023,6.231951871657754,77.0,11.69408737835736
City of Cebu,730600000,2024,7.260695187165775,117.0,14.097595484592262
City of Cotabato,1908703000,2022,1.4378818737270875,14.0,2.976778900335741
City of Cotabato,1908703000,2023,1.8472505091649694,20.0,3.7404443869939095
City of Cotabato,1908703000,2024,2.0733197556008145,25.0,4.400833213276335
City of Dagupan,105518000,2022,4.054945054945055,22.0,3.4768600967700984
City of Dagupan,105518000,2023,4.058608058608058,22.0,3.343060315781541
City of Dagupan,105518000,2024,4.465201465201465,23.0,3.7101580260764355
City of Dapitan,907201000,2022,0.11931818181818182,7.0,0.5476189807804145
City of Dapitan,907201000,2023,0.16558441558441558,9.0,0.7083802513737567
City of Dapitan,907201000,2024,0.1599025974025974,7.0,0.6430820600570968
City of Dasmariñas,402106000,2022,8.656441717791411,39.0,4.9690827783048785
City of Dasmariñas,402106000,2023,9.284253578732107,33.0,4.928007008184155
City of Dasmariñas,402106000,2024,10.325153374233128,40.0,5.59237368041374
City of Davao,1130700000,2022,1.2400457062494505,46.0,3.8661511192817315
City of Davao,1130700000,2023,1.5861826492045354,51.0,4.787840836381635
City of Davao,1130700000,2024,1.7029972752043596,74.0,4.9502884105764435
City of Digos,1102403000,2022,0.8207200587803086,17.0,2.1739651983352135
City of Digos,1102403000,2023,0.9529757531227039,21.0,2.469057661761864
City of Digos,1102403000,2024,0.991182953710507,22.0,2.5894566926006255
City of Dipolog,907202000,2022,0.478134110787172,8.0,0.9950108864882032
City of Dipolog,907202000,2023,0.7244897959183674,11.0,1.4300648170943902
City of Dipolog,907202000,2024,0.7725947521865889,11.0,1.4631154015797274
City of Dumaguete,704610000,2022,5.149484536082475,30.0,4.029955455263786
City of Dumaguete,704610000,2023,5.829896907216495,29.0,4.533601125444276
City of Dumaguete,704610000,2024,6.623711340206185,35.0,5.1959197551773775
City of El Salvador,1004307000,2022,0.6096033402922756,7.0,1.1862079936704673
City of El Salvador,1004307000,2023,0.81419624217119,11.0,1.6337154048730431
City of El Salvador,1004307000,2024,0.9624217118997912,12.0,1.8578522578876386
City of Escalante,604509000,2022,0.29923518164435947,8.0,0.7073361738622097
City of Escalante,604509000,2023,0.3049713193116635,8.0,0.6980676340724871
City of Escalante,604509000,2024,0.35850860420650094,8.0,0.7437176481532044
City of Gapan,304908000,2022,0.723175965665236,11.0,1.2423929039697417
City of Gapan,304908000,2023,0.8412017167381974,15.0,1.5133518259181926
City of Gapan,304908000,2024,1.0590128755364807,19.0,1.8065671486261352
City of General Santos,1230800000,2022,2.875951293759513,34.0,5.073791858272034
City of General Santos,1230800000,2023,3.213470319634703,40.0,5.645988431564716
City of General Santos,1230800000,2024,3.145357686453577,35.0,5.43791838656206
City of General Trias,402108000,2022,8.508946322067594,39.0,6.228216071277415
City of General Trias,402108000,2023,9.389662027833001,33.0,6.344582736828537
City of General Trias,402108000,2024,11.178926441351889,69.0,8.98307405754935
City of Gingoog,1004308000,2022,0.10314987885081343,11.0,0.5768288405454707
City of Gingoog,1004308000,2023,0.12495673243336795,11.0,0.6363541173616519
City of Gingoog,1004308000,2024,0.1768778123918311,20.0,1.0238781968996395
City of Guihulngan,704611000,2022,0.03530031612223393,5.0,0.2741351750776671
City of Guihulngan,704611000,2023,0.11749209694415173,9.0,0.5416281422323712
City of Guihulngan,704611000,2024,0.12434141201264488,11.0,0.5827948661755501
City of Himamaylan,604510000,2022,0.308562197092084,13.0,0.856472666629838
City of Himamaylan,604510000,2023,0.5514270328486807,19.0,1.3035180264247588
City of Himamaylan,604510000,2024,0.6429725363489499,17.0,1.3966439487768565
City of Ilagan,203114000,2022,0.22628179249091643,19.0,0.8664725903465719
City of Ilagan,203114000,2023,0.27836092046830846,22.0,0.9907872243397454
City of Ilagan,203114000,2024,0.3090431974162293,21.0,1.051543539782777
City of Iligan,1030900000,2022,0.5481861487724441,18.0,1.6977463907825945
City of Iligan,1030900000,2023,0.7511909124221327,25.0,2.2446596882354433
City of Iligan,1030900000,2024,0.8398680835470869,24.0,2.4100545428303892
City of Iloilo,631000000,2022,8.200488997555013,39.0,6.516024989821007
City of Iloilo,631000000,2023,9.82640586797066,49.0,8.127148926524109
City of Iloilo,631000000,2024,11.34718826405868,54.0,9.263158784995973
City of Imus,402109000,2022,12.228956228956228,26.0,4.297219748132583
City of Imus,402109000,2023,14.32996632996633,38.0,5.3250134916012195
City of Imus,402109000,2024,17.636363636363637,54.0,7.275420376790223
City of Iriga,501716000,2022,0.587467362924282,9.0,0.9665689140692473
City of Iriga,501716000,2023,0.6906005221932114,11.0,1.0813348315684528
City of Iriga,501716000,2024,0.762402088772846,13.0,1.2394500908143327
City of Isabela,990101000,2022,0.09021922428330523,3.0,0.39103199711407316
City of Isabela,990101000,2023,0.1163575042158516,5.0,0.4978390608802425
City of Isabela,990101000,2024,0.1205733558178752,5.0,0.4942826663267343
City of Kabankalan,604515000,2022,0.2704497434349532,27.0,1.3928883481681174
City of Kabankalan,604515000,2023,0.3649260488982795,31.0,1.679208666818863
City of Kabankalan,604515000,2024,0.40597645638394203,33.0,1.7811910660264956
City of Kidapawan,1204704000,2022,0.5419181757209927,16.0,1.336715223302083
City of Kidapawan,1204704000,2023,0.6733735747820255,21.0,1.6839346093471803
City of Kidapawan,1204704000,2024,0.7806841046277666,22.0,1.770024592244911
City of Koronadal,1206306000,2022,0.5397163120567375,13.0,1.3411850075532792
City of Koronadal,1206306000,2023,0.7205673758865249,19.0,1.7089467425478024
City of Koronadal,1206306000,2024,0.7347517730496453,16.0,1.6099859395713438
City of La Carlota,604516000,2022,0.7919655667144907,16.0,2.0666217372417655
City of La Carlota,604516000,2023,0.890961262553802,19.0,2.060669841351613
City of La Carlota,604516000,2024,1.0086083213773314,22.0,2.4176385403966196
City of Lamitan,1900702000,2022,0.04972804972804973,3.0,0.279884265149589
City of Lamitan,1900702000,2023,0.052059052059052056,3.0,0.27242050587609923
City of Lamitan,1900702000,2024,0.050505050505050504,3.0,0.2640271049240107
City of Laoag,102812000,2022,1.673170731707317,19.0,2.186175082461578
City of Laoag,102812000,2023,1.9626016260162602,18.0,2.238662433620726
City of Laoag,102812000,2024,2.354471544715447,21.0,2.745202823449157
City of Lapu-Lapu,731100000,2022,6.8355263157894735,50.0,7.135078970549251
City of Lapu-Lapu,731100000,2023,10.789473684210526,69.0,10.73482093119145
City of Lapu-Lapu,731100000,2024,12.057017543859649,79.0,11.931320049453841
City of Las Piñas,1380200000,2022,16.67464114832536,33.0,5.340947534380522
City of Las Piñas,1380200000,2023,17.23444976076555,38.0,5.5057655564243335
City of Las Piñas,1380200000,2024,19.564593301435405,41.0,6.116640566539955
City of Legazpi,500506000,2022,1.235754189944134,19.0,2.755037208059032
City of Legazpi,500506000,2023,1.3921787709497206,20.0,2.8330344296836194
City of Legazpi,500506000,2024,1.3251396648044693,19.0,2.6150369551084984
City of Ligao,500508000,2022,0.44541484716157204,14.0,1.0735018379908177
City of Ligao,500508000,2023,0.5662299854439592,35.0,1.556662226130783
City of Ligao,500508000,2024,0.5138282387190685,14.0,1.1525673081869297
City of Lipa,401014000,2022,3.592485549132948,29.0,4.397036726289027
City of Lipa,401014000,2023,3.88728323699422,30.0,4.323593486281178
City of Lipa,401014000,2024,5.038535645472062,38.0,5.4158885085793065
City of Lucena,431200000,2022,2.5287846481876333,12.0,2.462019127011118
City of Lucena,431200000,2023,2.8699360341151388,17.0,2.7870650427307155
City of Lucena,431200000,2024,3.1982942430703623,18.0,3.133340430005653
City of Maasin,806407000,2022,0.20093023255813955,8.0,0.7743558882349459
City of Maasin,806407000,2023,0.3553488372093023,9.0,0.9120672885142399
City of Maasin,806407000,2024,0.3813953488372093,9.0,0.993760959033558
City of Makati,1380300000,2022,46.683229813664596,132.0,19.3086799778638
City of Makati,1380300000,2023,47.807453416149066,128.0,17.65983460033485
City of Makati,1380300000,2024,50.024844720496894,133.0,19.00505010053155
City of Malabon,1380400000,2022,17.716666666666665,40.0,9.338257629534299
